S&P 500 Historical Price Data,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
18/11/2008,859.1,852.3,865.9,826.8,,0.98%
19/11/2008,806.6,859,864.6,806.2,,-6.11%
20/11/2008,752.4,805.9,820.5,747.8,,-6.72%
21/11/2008,800,755.8,801.2,741,,6.33%
24/11/2008,851.8,801.2,865.6,801.2,,6.47%
25/11/2008,857.4,853.4,868.9,835,,0.66%
26/11/2008,887.7,852.9,887.7,841.4,,3.53%
28/11/2008,896.2,886.9,896.2,881.2,,0.96%
01/12/2008,816.2,888.6,888.6,815.7,,-8.93%
02/12/2008,848.8,817.9,850.5,817.9,,3.99%
03/12/2008,870.7,843.6,873.1,827.6,,2.58%
04/12/2008,845.2,869.8,875.6,833.6,,-2.93%
05/12/2008,876.1,844.4,879.4,818.4,,3.66%
08/12/2008,909.7,882.7,918.6,882.7,,3.84%
09/12/2008,888.7,906.5,916.3,885.4,,-2.31%
10/12/2008,899.2,892.2,908.3,885.5,,1.18%
11/12/2008,873.6,898.4,904.6,868.7,,-2.85%
12/12/2008,879.7,871.8,883.2,851.4,,0.70%
15/12/2008,868.6,881.1,884.6,857.7,,-1.26%
16/12/2008,913.2,871.5,914.7,871.5,,5.13%
17/12/2008,904.4,908.2,918.9,895.9,,-0.96%
18/12/2008,885.3,906,911,877.4,,-2.11%
19/12/2008,887.9,887,905.5,883,,0.29%
22/12/2008,871.6,887.2,887.4,857.1,,-1.84%
23/12/2008,863.2,874.3,880.4,860.1,,-0.96%
24/12/2008,868.1,863.9,869.8,861.4,,0.57%
26/12/2008,872.8,869.5,873.7,866.5,,0.54%
29/12/2008,869.4,872.4,873.7,857.1,,-0.39%
30/12/2008,890.6,870.6,891.1,870.6,,2.44%
31/12/2008,903.2,890.6,910.3,889.7,,1.41%
02/01/2009,931.8,903,934.7,899.4,,3.17%
05/01/2009,927.5,929.2,936.6,919.5,,-0.46%
06/01/2009,934.7,931.2,943.9,927.3,,0.78%
07/01/2009,906.6,927.5,927.5,902.4,,-3.01%
08/01/2009,909.7,905.7,910,896.8,,0.34%
09/01/2009,890.4,909.9,911.9,888.3,,-2.12%
12/01/2009,870.3,890.4,890.4,864.3,,-2.26%
13/01/2009,871.8,869.8,877,862,,0.17%
14/01/2009,842.6,867.3,867.3,836.9,,-3.35%
15/01/2009,843.7,842,851.6,817,,0.13%
16/01/2009,850.1,844.5,858.1,830.7,,0.76%
20/01/2009,805.2,849.6,849.6,804.5,,-5.28%
21/01/2009,840.2,806.8,841.7,804.3,,4.35%
22/01/2009,827.5,839.7,839.7,811.3,,-1.51%
23/01/2009,832,822.2,838.6,806.1,,0.54%
26/01/2009,836.6,832.5,852.5,827.7,,0.55%
27/01/2009,845.7,837.3,850.5,835.4,,1.09%
28/01/2009,874.1,845.7,877.9,845.7,,3.36%
29/01/2009,845.1,868.9,868.9,844.1,,-3.32%
30/01/2009,825.9,845.7,851.7,821.7,,-2.27%
02/02/2009,825.4,823.1,830.8,812.9,,-0.06%
03/02/2009,838.5,825.7,842.6,822,,1.59%
04/02/2009,832.2,837.8,851.9,829.2,,-0.75%
05/02/2009,845.9,831.8,850.5,819.9,,1.65%
06/02/2009,868.6,846.1,870.8,845.4,,2.68%
09/02/2009,869.9,868.2,875,861.6,,0.15%
10/02/2009,827.2,866.9,868,823,,-4.91%
11/02/2009,833.7,827.4,838.2,822.3,,0.79%
12/02/2009,835.2,829.9,835.5,808.1,,0.18%
13/02/2009,826.8,834,839.4,825.2,,-1.01%
17/02/2009,789.2,818.6,818.6,789.2,,-4.55%
18/02/2009,788.4,791.1,796.2,780.4,,-0.10%
19/02/2009,778.9,787.9,797.6,777,,-1.20%
20/02/2009,770,775.9,778.7,754.2,,-1.14%
23/02/2009,743.3,773.2,777.9,742.4,,-3.47%
24/02/2009,773.1,744.7,775.5,744.7,,4.01%
25/02/2009,764.9,770.6,780.1,752.9,,-1.06%
26/02/2009,752.8,765.8,779.4,751.8,,-1.58%
27/02/2009,735.1,749.9,751.3,734.5,,-2.35%
02/03/2009,700.8,729.6,729.6,699.7,,-4.67%
03/03/2009,696.3,704.4,711.7,692.3,,-0.64%
04/03/2009,712.9,698.6,724.1,698.6,,2.38%
05/03/2009,682.5,708.3,708.3,677.9,,-4.26%
06/03/2009,683.4,684,699.1,666.8,,0.13%
09/03/2009,676.5,680.8,695.3,672.9,,-1.01%
10/03/2009,719.6,679.3,719.6,679.3,,6.37%
11/03/2009,721.4,719.6,731.9,713.9,,0.25%
12/03/2009,750.7,720.9,752.6,714.8,,4.06%
13/03/2009,756.5,752,758.3,742.5,,0.77%
16/03/2009,753.9,758.8,774.5,753.4,,-0.34%
17/03/2009,778.1,753.9,778.1,749.9,,3.21%
18/03/2009,794.4,776,803,765.6,,2.09%
19/03/2009,784,797.9,803.2,781.8,,-1.31%
20/03/2009,768.5,784.6,788.9,766.2,,-1.98%
23/03/2009,822.9,772.3,823.4,772.3,,7.08%
24/03/2009,806.1,820.6,823.6,805.5,,-2.04%
25/03/2009,813.9,806.8,826.8,791.4,,0.97%
26/03/2009,832.9,814.1,833,814.1,,2.33%
27/03/2009,815.9,828.7,828.7,813.4,,-2.04%
30/03/2009,787.5,809.1,809.1,779.8,,-3.48%
31/03/2009,797.9,790.9,810.5,790.9,,1.32%
01/04/2009,811.1,793.6,813.6,783.3,,1.65%
02/04/2009,834.4,814.5,845.6,814.5,,2.87%
03/04/2009,842.5,835.1,842.5,826.7,,0.97%
06/04/2009,835.5,839.8,839.8,822.8,,-0.83%
07/04/2009,815.5,834.1,834.1,814.5,,-2.39%
08/04/2009,825.2,816.8,828.4,814.8,,1.19%
09/04/2009,856.6,829.3,856.9,829.3,,3.81%
13/04/2009,858.7,855.3,864.3,845.4,,0.25%
14/04/2009,841.5,856.9,856.9,840.2,,-2.00%
15/04/2009,852.1,839.4,852.9,835.6,,1.26%
16/04/2009,865.3,854.5,870.4,847,,1.55%
17/04/2009,869.6,865.2,875.6,860.9,,0.50%
20/04/2009,832.4,868.3,868.3,832.4,,-4.28%
21/04/2009,850.1,831.2,850.1,826.8,,2.13%
22/04/2009,843.5,847.3,861.8,840.6,,-0.78%
23/04/2009,851.9,844.6,852.9,835.5,,1.00%
24/04/2009,866.2,853.9,871.8,853.9,,1.68%
27/04/2009,857.5,862.8,868.8,854.6,,-1.00%
28/04/2009,855.2,854.5,864.5,847.1,,-0.27%
29/04/2009,873.6,856.9,882.1,856.9,,2.15%
30/04/2009,872.8,876.6,888.7,868.5,,-0.09%
01/05/2009,877.5,872.7,880.5,866.1,,0.54%
04/05/2009,907.2,879.2,907.9,879.2,,3.38%
05/05/2009,903.8,906.1,907.7,897.3,,-0.37%
06/05/2009,919.5,904,920.3,904,,1.74%
07/05/2009,907.4,919.6,929.6,901.4,,-1.32%
